epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,17131.4,0.24452,0.23887,0.84976,0.99885,1,0.995,0.98117,0.29612,0.19893,0.87178,0.0011486,0.0011486,0.0011486
45,17499.7,0.24315,0.22269,0.85927,0.99775,1,0.995,0.97864,0.29726,0.19828,0.8834,0.0011288,0.0011288,0.0011288
46,17869.9,0.23578,0.23044,0.85399,0.99887,1,0.995,0.97173,0.3539,0.2065,0.95056,0.001109,0.001109,0.001109
47,18241.7,0.23148,0.21731,0.84465,0.99881,1,0.995,0.98061,0.29197,0.1708,0.8997,0.0010892,0.0010892,0.0010892
48,18615.9,0.23075,0.21912,0.84908,0.99387,1,0.995,0.96654,0.31272,0.2199,0.90671,0.0010694,0.0010694,0.0010694
49,18998,0.22679,0.20929,0.84574,0.99891,1,0.995,0.97448,0.3201,0.2039,0.90548,0.0010496,0.0010496,0.0010496
50,19369.8,0.23986,0.22848,0.85175,0.99878,1,0.995,0.98024,0.31232,0.19171,0.92512,0.0010298,0.0010298,0.0010298
51,19741.2,0.22629,0.22068,0.85214,0.99824,1,0.995,0.9809,0.3041,0.19255,0.91192,0.00101,0.00101,0.00101
52,20108.1,0.22556,0.21692,0.84477,0.99887,1,0.995,0.98009,0.29633,0.22284,0.88712,0.0009902,0.0009902,0.0009902
53,20479.3,0.23054,0.22511,0.84858,0.99566,1,0.995,0.98081,0.22884,0.1955,0.83256,0.0009704,0.0009704,0.0009704
54,20847.9,0.22229,0.21717,0.85412,0.99821,1,0.995,0.97138,0.26516,0.1976,0.83929,0.0009506,0.0009506,0.0009506
55,21222.9,0.21508,0.21329,0.84686,0.99849,1,0.995,0.97248,0.28178,0.19216,0.86196,0.0009308,0.0009308,0.0009308
56,21612.6,0.21405,0.20286,0.83987,0.9984,1,0.995,0.97098,0.24137,0.16851,0.81721,0.000911,0.000911,0.000911
57,21991.3,0.21932,0.21808,0.84007,0.99899,1,0.995,0.97311,0.29846,0.18103,0.86012,0.0008912,0.0008912,0.0008912
58,22363.8,0.2097,0.20556,0.84602,0.99859,1,0.995,0.98204,0.25399,0.18347,0.83468,0.0008714,0.0008714,0.0008714
