epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,390.085,0.47917,1.25112,0.93968,0.97739,1,0.9934,0.85034,0.62793,1.2825,1.08699,0.000663043,0.000663043,0.000663043
2,875.761,0.50985,0.90267,0.93944,0.96069,0.99756,0.99381,0.89674,0.52408,1.14808,0.99303,0.00131655,0.00131655,0.00131655
3,1333.8,0.50486,0.73849,0.92977,0.93372,0.97959,0.98107,0.82869,0.55422,1.24472,1.01575,0.00195685,0.00195685,0.00195685
4,1792.34,0.48364,0.64655,0.92014,1,0.99779,0.995,0.90056,0.5115,0.60695,0.97875,0.0019406,0.0019406,0.0019406
5,2253.99,0.46692,0.53743,0.91222,1,0.99297,0.995,0.90862,0.5216,0.51169,0.97618,0.0019208,0.0019208,0.0019208
6,2660.76,0.44893,0.49681,0.91342,0.99718,1,0.995,0.93301,0.45053,0.42793,0.96006,0.001901,0.001901,0.001901
7,3119.48,0.40535,0.43587,0.90302,0.99877,1,0.995,0.92936,0.43532,0.37153,0.92402,0.0018812,0.0018812,0.0018812
